uuid,level,type,metric,score
14815,emb,a_0_a_1,s,0.8970128
14815,emb,a_0_a_2,s,0.9577197
14815,emb,a_0_a_3,s,0.89067805
14815,emb,a_0_a_4,s,0.92322093
14815,emb,a_0_a_5,s,0.9620025
14815,emb,a_0_a_6,s,0.8976642
14815,emb,a_0_a_7,s,0.92371684
14815,emb,a_1_a_2,s,0.94189006
14815,emb,a_1_a_3,s,0.9688379
14815,emb,a_1_a_4,s,0.9342435
14815,emb,a_1_a_5,s,0.93633884
14815,emb,a_1_a_6,s,0.99969804
14815,emb,a_1_a_7,s,0.93218136
14815,emb,a_2_a_3,s,0.9281406
14815,emb,a_2_a_4,s,0.9490136
14815,emb,a_2_a_5,s,0.98128057
14815,emb,a_2_a_6,s,0.942881
14815,emb,a_2_a_7,s,0.94955254
14815,emb,a_3_a_4,s,0.9107258
14815,emb,a_3_a_5,s,0.9255977
14815,emb,a_3_a_6,s,0.9698778
14815,emb,a_3_a_7,s,0.9132191
14815,emb,a_4_a_5,s,0.9374057
14815,emb,a_4_a_6,s,0.9367379
14815,emb,a_4_a_7,s,0.99952793
14815,emb,a_5_a_6,s,0.9365442
14815,emb,a_5_a_7,s,0.93734705
14815,emb,a_6_a_7,s,0.9348481
14816,emb,a_0_a_1,s,1.0
14816,emb,a_0_a_2,s,0.91667104
14816,emb,a_0_a_3,s,0.9124716
14816,emb,a_0_a_4,s,0.9434682
14816,emb,a_0_a_5,s,0.97712815
14816,emb,a_0_a_6,s,0.9477077
14816,emb,a_0_a_7,s,0.9468118
14816,emb,a_1_a_2,s,0.91667104
14816,emb,a_1_a_3,s,0.9124716
14816,emb,a_1_a_4,s,0.9434682
14816,emb,a_1_a_5,s,0.97712815
14816,emb,a_1_a_6,s,0.9477077
14816,emb,a_1_a_7,s,0.9468118
14816,emb,a_2_a_3,s,0.9773462
14816,emb,a_2_a_4,s,0.9597341
14816,emb,a_2_a_5,s,0.94004667
14816,emb,a_2_a_6,s,0.94629145
14816,emb,a_2_a_7,s,0.95988446
14816,emb,a_3_a_4,s,0.9732034
14816,emb,a_3_a_5,s,0.94847476
14816,emb,a_3_a_6,s,0.96294546
14816,emb,a_3_a_7,s,0.97556645
14816,emb,a_4_a_5,s,0.9734399
14816,emb,a_4_a_6,s,0.9812788
14816,emb,a_4_a_7,s,0.99759364
14816,emb,a_5_a_6,s,0.97228676
14816,emb,a_5_a_7,s,0.9745926
14816,emb,a_6_a_7,s,0.98261255
14817,emb,a_0_a_1,s,0.94532764
14817,emb,a_0_a_2,s,0.97218925
14817,emb,a_0_a_3,s,0.97646457
14817,emb,a_0_a_4,s,0.967794
14817,emb,a_0_a_5,s,0.9706198
14817,emb,a_0_a_6,s,0.97205436
14817,emb,a_0_a_7,s,0.9702805
14817,emb,a_1_a_2,s,0.94784737
14817,emb,a_1_a_3,s,0.9569744
14817,emb,a_1_a_4,s,0.95065874
14817,emb,a_1_a_5,s,0.94808304
14817,emb,a_1_a_6,s,0.96333313
14817,emb,a_1_a_7,s,0.93131995
14817,emb,a_2_a_3,s,0.9716109
14817,emb,a_2_a_4,s,0.9759577
14817,emb,a_2_a_5,s,0.97067463
14817,emb,a_2_a_6,s,0.9689338
14817,emb,a_2_a_7,s,0.9826896
14817,emb,a_3_a_4,s,0.9884316
14817,emb,a_3_a_5,s,0.98573476
14817,emb,a_3_a_6,s,0.9902171
14817,emb,a_3_a_7,s,0.9742538
14817,emb,a_4_a_5,s,0.99619466
14817,emb,a_4_a_6,s,0.9826406
14817,emb,a_4_a_7,s,0.9789725
14817,emb,a_5_a_6,s,0.97990847
14817,emb,a_5_a_7,s,0.97541904
14817,emb,a_6_a_7,s,0.97092956
14818,emb,a_0_a_1,s,0.91618085
14818,emb,a_0_a_2,s,0.9688684
14818,emb,a_0_a_3,s,0.9160309
14818,emb,a_0_a_4,s,0.9710839
14818,emb,a_0_a_5,s,0.9697048
14818,emb,a_0_a_6,s,0.9539479
14818,emb,a_0_a_7,s,0.99622643
14818,emb,a_1_a_2,s,0.9355991
14818,emb,a_1_a_3,s,0.9875936
14818,emb,a_1_a_4,s,0.930086
14818,emb,a_1_a_5,s,0.9298991
14818,emb,a_1_a_6,s,0.93828547
14818,emb,a_1_a_7,s,0.9083481
14818,emb,a_2_a_3,s,0.9438001
14818,emb,a_2_a_4,s,0.997613
14818,emb,a_2_a_5,s,0.99792194
14818,emb,a_2_a_6,s,0.9876354
14818,emb,a_2_a_7,s,0.96899414
14818,emb,a_3_a_4,s,0.93825346
14818,emb,a_3_a_5,s,0.9375411
14818,emb,a_3_a_6,s,0.95233136
14818,emb,a_3_a_7,s,0.9111446
14818,emb,a_4_a_5,s,0.99940354
14818,emb,a_4_a_6,s,0.9869885
14818,emb,a_4_a_7,s,0.97233695
14818,emb,a_5_a_6,s,0.98757493
14818,emb,a_5_a_7,s,0.97055405
14818,emb,a_6_a_7,s,0.9537343
14819,emb,a_0_a_1,s,0.9135263
14819,emb,a_0_a_2,s,0.9135263
14819,emb,a_0_a_3,s,0.9135263
14819,emb,a_0_a_4,s,0.9135263
14819,emb,a_0_a_5,s,0.9136625
14819,emb,a_0_a_6,s,0.9135263
14819,emb,a_0_a_7,s,0.9846978
14819,emb,a_1_a_2,s,1.0000002
14819,emb,a_1_a_3,s,1.0000002
14819,emb,a_1_a_4,s,1.0000002
14819,emb,a_1_a_5,s,0.9993229
14819,emb,a_1_a_6,s,1.0000002
14819,emb,a_1_a_7,s,0.9462596
14819,emb,a_2_a_3,s,1.0000002
14819,emb,a_2_a_4,s,1.0000002
14819,emb,a_2_a_5,s,0.9993229
14819,emb,a_2_a_6,s,1.0000002
14819,emb,a_2_a_7,s,0.9462596
14819,emb,a_3_a_4,s,1.0000002
14819,emb,a_3_a_5,s,0.9993229
14819,emb,a_3_a_6,s,1.0000002
14819,emb,a_3_a_7,s,0.9462596
14819,emb,a_4_a_5,s,0.9993229
14819,emb,a_4_a_6,s,1.0000002
14819,emb,a_4_a_7,s,0.9462596
14819,emb,a_5_a_6,s,0.9993229
14819,emb,a_5_a_7,s,0.9461975
14819,emb,a_6_a_7,s,0.9462596
14820,emb,a_0_a_1,s,0.9719535
14820,emb,a_0_a_2,s,0.99592096
14820,emb,a_0_a_3,s,0.99183476
14820,emb,a_0_a_4,s,0.98210984
14820,emb,a_0_a_5,s,0.9616815
14820,emb,a_0_a_6,s,0.9918034
14820,emb,a_0_a_7,s,0.9855538
14820,emb,a_1_a_2,s,0.9737334
14820,emb,a_1_a_3,s,0.97404146
14820,emb,a_1_a_4,s,0.9805545
14820,emb,a_1_a_5,s,0.97837865
14820,emb,a_1_a_6,s,0.9738976
14820,emb,a_1_a_7,s,0.965255
14820,emb,a_2_a_3,s,0.99591416
14820,emb,a_2_a_4,s,0.9815413
14820,emb,a_2_a_5,s,0.9627309
14820,emb,a_2_a_6,s,0.9959334
14820,emb,a_2_a_7,s,0.98763645
14820,emb,a_3_a_4,s,0.9831587
14820,emb,a_3_a_5,s,0.9674151
